name;address;city;state;zip;phone_number;momtrusted_id;
Childtime;118 W Fire Tower Rd;Winterville;NC;28590;8002194276;352494;
Childcare Network #176;443 Weaverville Highway;Asheville;NC;28804;8002235895;381085;
La Petite Academy;4027 Platt Springs Rd;West Columbia;SC;29169;8002077313;354181;
La Petite Academy;7460 Garners Ferry Rd;Columbia;SC;29209;8002077313;460847;
La Petite Academy;2041 Clemson Rd;Columbia;SC;29229;8002077313;354512;
La Petite Academy;902 Nabors Dr;Charleston;SC;29412;8002077313;353674;
La Petite Academy;2523 Ashley River Rd;Charleston;SC;29414;8002077313;353847;
La Petite Academy;3608 Ashley Phosphate Road;North Charleston;SC;29418;8002077313;353900;
La Petite Academy;502 St James Ave;Goose Creek;SC;29445;8002077313;353588;
La Petite Academy;1665 N Main St;Summerville;SC;29483;8002077313;353608;
La Petite Academy;1664 Old Trolley Road;Summerville;SC;29485;8002077313;460898;
La Petite Academy;3501 Pine Needles Rd;Florence;SC;29501;8002077313;353404;
La Petite Academy;1518 Woodruff Rd;Greenville;SC;29607;8002077313;353683;
La Petite Academy;4805 Old Spartanburg Rd;Taylors;SC;29687;8002077313;460848;
Childtime;5075 Abbotts Bridge Rd #1100;Alpharetta;GA;30005;8002194276;264961;
Preston Ridge Montessori;3800 North Point Parkway;Alpharetta;GA;30005;8002094253;274391;
Childcare Network #241;2130 Bridgestone Business Pkwy;Conyers;GA;30012;8002235895;381321;
La Petite Academy;1750 Georgia 138;Conyers;GA;30012;8002077313;270001;
Childcare Network #245;405 Dacula Rd;Dacula;GA;30019;8002235895;463939;
Medlock Bridge Montessori;5815 Medlock Bridge Pkwy;Johns Creek;GA;30022;8002094253;272091;
Nesbit Ferry Montessori;9330 Nesbit Ferry Rd;Alpharetta;GA;30022;8002094253;272931;
La Petite Academy;3079 Panola Rd;Lithonia;GA;30038;8002077313;270051;
Childtime;2230 Hewatt Rd;Snellville;GA;30039;8002194276;460830;
Childtime;20 Patterson Rd SW;Lawrenceville;GA;30044;8002194276;264931;
Childtime;1795 Old Norcross Rd;Lawrenceville;GA;30044;8002194276;264971;
Childcare Network #243;54 Towler Road;Lawrenceville;GA;30046;8002235895;463938;
Childtime;4050 Darling CT SW;Lilburn;GA;30047;8002194276;264901;
Childtime;876 S Deshon Rd;Lithonia;GA;30058;8002194276;264941;
Childtime;2950 Horseshoe Bend Rd;Marietta;GA;30064;8002194276;264911;
La Petite Academy;1805 Williams Dr;Marietta;GA;30066;8002077313;270101;
La Petite Academy;2358 Shallowford Rd;Marietta;GA;30066;8002077313;270071;
Childcare Network #234;2350 Wisteria Drive;Snellville;GA;30078;8002235895;381034;
La Petite Academy;2154 Georgia 124;Snellville;GA;30078;8002077313;460849;
Tutor Time;3620 South Cobb Dr SE;Smyrna;GA;30080;8002194278;277311;
Childtime;501 Ridge Ave;Stone Mountain;GA;30083;8002194276;264891;
La Petite Academy;6275 Crooked Creek Rd NW;Norcross;GA;30092;8002077313;269991;
La Petite Academy;1231 Indian Trail Lilburn Rd;Norcross;GA;30093;8002077313;270021;
Childtime;2405 Meadowbrook Pkwy;Duluth;GA;30096;8002194276;264921;
Sugarloaf Montessori School;2270 Meadow Church Rd;Duluth;GA;30097;8002094253;276121;
Montessori at Brookstone;1680 Brookstone Walk NW;Acworth;GA;30101;8002094253;272411;
La Petite Academy;1806 Lee Rd;Lithia Springs;GA;30122;8002077313;270031;
La Petite Academy;4200 Steeplechase Dr;Powder Springs;GA;30127;8002077313;270081;
Childtime;3149 Cobb Pkwy N;Kennesaw;GA;30152;8002194276;264951;
La Petite Academy;1529 Mundys Mill Rd;Jonesboro;GA;30236;8002077313;270041;
Childcare Network #235;655 Strickland Road;Locust Grove;GA;30248;8002235895;381035;
La Petite Academy;7639 Taylor Rd;Riverdale;GA;30274;8002077313;270091;
Childcare Network #251;700 Flippen Road;Stockbridge;GA;30281;8002235895;463941;
La Petite Academy;115 Greencastle Rd;Tyrone;GA;30290;8002077313;460850;
Childcare Network #250;4689 Hardy McManus Road;Evans;GA;30809;8002235895;463940;
Childcare Network #252;1201 N. Houston Rd;Warner Robins;GA;31093;8002235895;463942;
Childcare Network #254;101 Westside Blvd;Pooler;GA;31322;8002235895;463943;
Childtime;1295 Middle School Rd;Kingsland;GA;31548;8002194276;264991;
Childtime;201 N Julia St;St. Marys;GA;31558;8002194276;264981;
Childcare Network #239;2001 Kia Boulevard;West Point;GA;31833;8002235895;463937;
Childtime;1510 Business Center Dr;Orange Park;FL;32003;8002194276;44752;
La Petite Academy;4321 U.S. 17;Fleming Island;FL;32003;8002077313;44771;
La Petite Academy;3150 County Road 220;Middleburg;FL;32068;8002077313;44770;
La Petite Academy;135 Nix Boat Yard Rd;St Augustine;FL;32084;8002077313;49863;
Tutor Time;125 Hampton Point Drive;St. Augustine;FL;32092;8002194278;49888;
La Petite Academy;650 Taylor Rd;Port Orange;FL;32127;8002077313;50411;
La Petite Academy;1428 State Road 40;Ormond Beach;FL;32174;8002077313;50412;
Tutor Time;751 Lady Lake Rd W;Jacksonville;FL;32218;8002194278;45379;
La Petite Academy;13957 Beach Blvd;Jacksonville;FL;32224;8002077313;45221;
Tutor Time;4783 Windsor Commons Ct;Jacksonville;FL;32224;8002194278;45380;
La Petite Academy;50 St Johns Bluff Rd N;Jacksonville;FL;32225;8002077313;45219;
La Petite Academy;800 Girvin Rd;Jacksonville;FL;32225;8002077313;45223;
Childtime;8500 Argyle Forest Blvd;Jacksonville;FL;32244;8002194276;45053;
La Petite Academy;6601 Argyle Forest Blvd;Jacksonville;FL;32244;8002077313;45222;
Tutor Time;8510 Watermill Blvd;Jacksonville;FL;32244;8002194278;45381;
La Petite Academy;9220 Golfside Dr;Jacksonville;FL;32256;8002077313;45220;
Childtime;9950 Old St Augustine Rd;Jacksonville;FL;32257;8002194276;45054;
Tutor Time;13734 Old Saint Augustine Road;Jacksonville;FL;32258;8002194278;45378;
La Petite Academy;9601 Pickwood Dr;Pensacola;FL;32514;8002077313;45466;
La Petite Academy;4400 Florida 20;Niceville;FL;32578;8002077313;48239;
La Petite Academy;2755 SW Archer Rd;Gainesville;FL;32608;8002077313;43840;
La Petite Academy;500 Sr 434;Altamonte Springs;FL;32714;8002077313;50212;
La Petite Academy;698 Deltona Blvd;Deltona;FL;32725;8002077313;50413;
La Petite Academy;3850 Lake Emma Rd;Lake Mary;FL;32746;8002077313;50213;
Childtime;1500 Swanson Dr;Oviedo;FL;32765;8002194276;50149;
Childtime;1001 S Semoran Blvd;Winter Park;FL;32792;8002194276;48345;
La Petite Academy;2650 Pembrook Dr;Orlando;FL;32810;8002077313;48470;
La Petite Academy;6573 Old Winter Garden Rd;Orlando;FL;32811;8002077313;48461;
La Petite Academy;5066 S Conway Rd;Orlando;FL;32812;8002077313;48464;
La Petite Academy;7698 Silver Star Rd;Orlando;FL;32818;8002077313;48463;
La Petite Academy;7303 Lake Underhill Road;Orlando;FL;32822;8002077313;48466;
La Petite Academy;401 Mark Twain Blvd;Orlando;FL;32828;8002077313;48465;
La Petite Academy;14524 Gatorland Dr;Orlando;FL;32837;8002077313;48468;
La Petite Academy;10936 S Trail Cir;Orlando;FL;32837;8002077313;48467;
La Petite Academy;2111 Franklin Dr NE;Palm Bay;FL;32905;8002077313;44068;
La Petite Academy;8200 Devereux Dr;Melbourne;FL;32940;8002077313;44069;
La Petite Academy;2200 North Courtenay Parkway;Merritt Island;FL;32953;8002077313;44070;
La Petite Academy;170 Barton Blvd;Rockledge;FL;32955;8002077313;44071;
La Petite Academy;1418 27th Ave;Vero Beach;FL;32960;8002077313;46181;
La Petite Academy;1900 N Douglas Rd;Pembroke Pines;FL;33024;8002077313;44397;
La Petite Academy;2610 S Douglas Rd;Miramar;FL;33025;8002077313;44401;
La Petite Academy;12151 SW 14th St;Pembroke Pines;FL;33025;8002077313;44399;
La Petite Academy;6750 W Atlantic Blvd;Margate;FL;33063;8002077313;44398;
La Petite Academy;3228 Holiday Springs Blvd;Margate;FL;33063;8002077313;44396;
La Petite Academy;6190 NW 7th St;Miami;FL;33126;8002077313;47469;
La Petite Academy;14901 SW 127th Ave;Miami;FL;33186;8002077313;47467;
La Petite Academy;21650 SW 98th Ave;Miami;FL;33190;8002077313;47466;
Childtime;8169 N Pine Island Rd;Tamarac;FL;33321;8002194276;44245;
Tutor Time;851 SW 78th Ave;Plantation;FL;33324;8002194278;44627;
Three Village Montessori;1400 Indian Trace Blvd;Weston;FL;33326;8002094253;50726;
La Petite Academy;153 Sparrow Dr;Royal Palm Beach;FL;33411;8002077313;48919;
La Petite Academy;10190 Calle Comercio;Boca Raton;FL;33428;8002077313;48921;
La Petite Academy;4885 Windward Passage Dr;Boynton Beach;FL;33436;8002077313;48920;
La Petite Academy;280 NW 45th Ave;Deerfield Bch;FL;33442;8002077313;44400;
West Glades Montessori;20400 Cain Blvd;Boca Raton;FL;33498;8002094253;49105;
La Petite Academy;606 E Windhorst Rd;Brandon;FL;33510;8002077313;45934;
La Petite Academy;808 W Bloomingdale Ave;Brandon;FL;33511;8002077313;45927;
La Petite Academy;10025 Cristina Dr;Riverview;FL;33569;8002077313;45926;
La Petite Academy;1011 Greenhollow Ln;Valrico;FL;33594;8002077313;45928;
La Petite Academy;3818 W Humphrey St;Tampa;FL;33614;8002077313;45929;
La Petite Academy;7511 Paula Dr;Tampa;FL;33615;8002077313;45931;
La Petite Academy;15707 Mapledale Drive;Tampa;FL;33624;8002077313;460851;
La Petite Academy;13502 S Village Dr;Tampa;FL;33624;8002077313;45933;
La Petite Academy;9005 Regents Park Dr;Tampa;FL;33647;8002077313;45932;
La Petite Academy;1880 N McMullen Booth Rd;Clearwater;FL;33759;8002077313;49367;
La Petite Academy;1940 Glendale St;Lakeland;FL;33803;8002077313;50614;
La Petite Academy;6919 53rd Ave E;Bradenton;FL;34203;8002077313;46865;
La Petite Academy;4301 37th St W;Bradenton;FL;34205;8002077313;46864;
La Petite Academy;4507 Vintage Dr;Sarasota;FL;34243;8002077313;46866;
La Petite Academy;6829 State Road 54;New Pt Richey;FL;34653;8002077313;49185;
La Petite Academy;12024 Cobblestone Dr;Hudson;FL;34667;8002077313;49184;
La Petite Academy;130 Buenaventura Blvd;Kissimmee;FL;34743;8002077313;48712;
La Petite Academy;2400 Mill Run Blvd;Kissimmee;FL;34744;8002077313;48711;
La Petite Academy;2825 Alice Blvd;Kissimmee;FL;34746;8002077313;48710;
La Petite Academy;11002 Winshire Blvd;Ocoee;FL;34761;8002077313;48469;
La Petite Academy;842 SW Glenview Ct;Port St Lucie;FL;34953;8002077313;49933;
La Petite Academy;410 SW Bethany Dr;Port St Lucie;FL;34986;8002077313;49932;
La Petite Academy;2825 U.S. 31;Pelham;AL;35124;8002077313;366838;
La Petite Academy;2041 Brookwood Medical Center Dr;Birmingham;AL;35209;8002077313;366797;
La Petite Academy;5640 Chalkville Mountain Rd;Birmingham;AL;35235;8002077313;366799;
La Petite Academy;2330 John Hawkins Pkwy;Birmingham;AL;35244;8002077313;366800;
La Petite Academy;2122 Westmead St SW;Decatur;AL;35603;8002077313;366762;
La Petite Academy;103 W Dublin Dr;Madison;AL;35758;8002077313;460852;
La Petite Academy;5045 Technology Dr NW;Huntsville;AL;35805;8002077313;366743;
La Petite Academy;955 Hillcrest Rd;Mobile;AL;36695;8002077313;366758;
La Petite Academy;708 S. Dickerson Rd.;Goodlettsville;TN;37072;8002077313;357266;
La Petite Academy;65 Pleasant Grove Rd;Mt. Juliet;TN;37122;8002077313;359808;
La Petite Academy;342 W Northfield Blvd;Murfreesboro;TN;37129;8002077313;358580;
La Petite Academy;100 Matterhorn Dr;Old Hickory;TN;37138;8002077313;359827;
La Petite Academy;1212 Hazelwood Dr;Smyrna;TN;37167;8002077313;358637;
La Petite Academy;1842 Old Murfreesboro Rd;Nashville;TN;37217;8002077313;357534;
La Petite Academy;2220 Candies Ln;Cleveland;TN;37312;8002077313;356959;
La Petite Academy;112 Tulsa Rd;Oak Ridge;TN;37830;8002077313;359990;
La Petite Academy;9001 George Williams Rd;Knoxville;TN;37922;8002077313;357998;
La Petite Academy;11308 Station W Dr;Knoxville;TN;37922;8002077313;358042;
La Petite Academy;9130 Bagley Ln;Knoxville;TN;37923;8002077313;357995;
La Petite Academy;6915 Harrell Rd;Knoxville;TN;37931;8002077313;358012;
La Petite Academy;712 E Emory Rd;Knoxville;TN;37938;8002077313;358058;
La Petite Academy;310 Poplar View Pkwy;Collierville;TN;38017;8002077313;358754;
La Petite Academy;330 S Walnut Bend Rd;Cordova;TN;38018;8002077313;358764;
La Petite Academy;2914 Hickory Hill Rd;Memphis;TN;38115;8002077313;381335;
La Petite Academy;8037 Meadow Vale Dr;Memphis;TN;38125;8002077313;460853;
La Petite Academy;2857 Coleman Rd;Memphis;TN;38128;8002077313;359907;
La Petite Academy;4125 New Allen Rd;Memphis;TN;38128;8002077313;460854;
La Petite Academy;4744 Riverdale Rd;Memphis;TN;38141;8002077313;460855;
La Petite Academy;2563 Goodman Rd W;Horn Lake;MS;38637;8002077313;372876;
La Petite Academy;10900 Nichols Blvd;Olive Branch;MS;38654;8002077313;372874;
La Petite Academy;9505 U.S. Hwy 42;Prospect;KY;40059;8002077313;297341;
La Petite Academy;10501 Timberwood Cir;Louisville;KY;40223;8002077313;289121;
La Petite Academy;1009 Wellington Way;Lexington;KY;40513;8002077313;294481;
La Petite Academy;1101 Wilkinson Trace;Bowling Green;KY;42104;8002077313;303281;
La Petite Academy;50 Bannockburn Blvd;Blacklick;OH;43004;8002077313;2692;
La Petite Academy;7135 Sawmill Rd;Dublin;OH;43017;8002077313;2855;
La Petite Academy;3710 Ridge Mill Dr;Hilliard;OH;43026;8002077313;2900;
Childtime;170 E Broad St;Pataskala;OH;43062;8002194276;3633;
La Petite Academy;7474 Sawmill Pkwy;Powell;OH;43065;8002077313;2165;
La Petite Academy;4426 Valley Quail Blvd S;Westerville;OH;43081;8002077313;2929;
La Petite Academy;130 Polaris Pkwy;Westerville;OH;43081;8002077313;2148;
La Petite Academy;12968 Stonecreek Dr;Pickerington;OH;43147;8002077313;2262;
Childtime;6660 Doubletree Ave;Columbus;OH;43229;8002194276;2719;
La Petite Academy;909 Polaris Pkwy;Columbus;OH;43240;8002077313;2138;
La Petite Academy;2935 East Rocket Drive;Toledo;OH;43606;8002077313;460856;
Childtime;28787 Lorain Rd;North Olmsted;OH;44070;8002194276;1665;
Childtime;3365 Richmond Rd #260;Beachwood;OH;44122;8002194276;1701;
Tutor Time;19880 W 130th St;Strongsville;OH;44136;8002194278;1900;
Childtime;6233 Smith Rd;Brook Park;OH;44142;8002194276;1719;
Childtime;270 Best St;Bedford;OH;44146;8002194276;1706;
Childtime;1189 Tallmadge Rd;Cuyahoga Falls;OH;44221;8002194276;4992;
Childtime;186 Portage Trail Extension W;Cuyahoga Falls;OH;44223;8002194276;4990;
Childtime;2691 21st St;Cuyahoga Falls;OH;44223;8002194276;4987;
Childtime;3101 Graham Road;Stow;OH;44224;8002194276;5277;
Childtime;2145 Eastwood Ave;Akron;OH;44305;8002194276;5304;
Childtime;2546 Leland Ave;Akron;OH;44312;8002194276;5306;
Childtime;2645 Manchester Rd;Akron;OH;44319;8002194276;5303;
Childtime;555 White Pond Dr;Akron;OH;44320;8002194276;5308;
Childtime;3475 Embassy Pkwy;Fairlawn;OH;44333;8002194276;4998;
Childtime;145 N Trimble Rd;Mansfield;OH;44906;8002194276;4746;
Childtime;4922 Hamilton Mason Rd;Liberty Township;OH;45011;8002194276;444;
Childtime;595 Western Row Rd;Mason;OH;45040;8002194276;380;
Childtime;755 Cold Water Dr;Monroe;OH;45050;8002194276;494;
La Petite Academy;8339 Beckett Park Drive;West Chester Township;OH;45069;8002077313;426;
Tutor Time;7218 Liberty Way;West Chester;OH;45069;8002194278;586;
Childtime;550 Main Street;Cincinnati;OH;45202;8002194276;80;
Childtime;312 Walnut Street #100;Cincinnati;OH;45202;8002194276;81;
Childtime;10631 Techwoods Circle;Blue Ash;OH;45242;8002194276;22;
La Petite Academy;100 W Wenger Rd;Englewood;OH;45322;8002077313;4456;
Childtime;1000 Rainbow Ct;Fairborn;OH;45324;8002194276;2375;
La Petite Academy;2900 W Spring Valley Pike;Miamisburg;OH;45342;8002077313;4481;
La Petite Academy;17 Apple Blossom Place;Dayton;OH;45440;8002077313;2370;
Childtime;6375 Clyo Rd;Centerville;OH;45458;8002194276;1326;
La Petite Academy;9755 Dayton Lebanon Pike;Washington;OH;45458;8002077313;460857;
Childtime;10708 Alliance Dr;Camby;IN;46113;8002194276;38409;
Childtime;1169 Avon Avenue;Avon;IN;46123;8002194276;38408;
La Petite Academy;125 North County Road 800 E;Avon;IN;46123;8002077313;460858;
Childtime;565 Tracy Rd;Whiteland;IN;46184;8002194276;38489;
La Petite Academy;South Emerson Avenue;Indianapolis;IN;46203;8002077313;460859;
La Petite Academy;8860 E 10th St;Indianapolis;IN;46219;8002077313;460860;
La Petite Academy;4116 Kildeer Dr;Indianapolis;IN;46237;8002077313;460861;
La Petite Academy;3836 Shore Dr;Indianapolis;IN;46254;8002077313;381340;
La Petite Academy;131 Venturi Dr;Chesterton;IN;46304;8002077313;460862;
La Petite Academy;130 Catalpa Dr E;Mishawaka;IN;46545;8002077313;460863;
La Petite Academy;521 N St Joseph St;South Bend;IN;46601;8002077313;460864;
La Petite Academy;7219 Engle Rd;Fort Wayne;IN;46804;8002077313;38072;
Childtime;16500 24 Mile Rd;Macomb Township;MI;48042;8002194276;41337;
Childtime;31480 23 Mile Rd;Chesterfield Twp;MI;48047;8002194276;460889;
Childtime;15636 J L Hudson Dr;Southfield;MI;48075;8002194276;41918;
Childtime;27900 Evergreen Rd;Lathrup Village;MI;48076;8002194276;41917;
Childtime;150 E Long Lake Rd;Troy;MI;48085;8002194276;460831;
Childtime;4533 Crooks Rd;Troy;MI;48098;8002194276;41919;
Tutor Time;2380 Oak Valley Dr;Ann Arbor;MI;48103;8002194278;42780;
Childtime;4220 Plymouth Rd;Ann Arbor;MI;48106;8002194276;42635;
Childtime;6051 Mercury Drive;Dearborn;MI;48126;8002194276;460890;
Childtime;20804 Halsted Rd;Northville;MI;48167;8002194276;460832;
Childtime;47300 Port St;Plymouth;MI;48170;8002194276;42834;
Childtime;45678 Helm St;Plymouth;MI;48170;8002194276;460833;
Childtime;34203 Ford Rd;Westland;MI;48185;8002194276;42830;
Childtime;3101 N Lilley Rd;Canton;MI;48187;8002194276;42831;
Tutor Time;951 N Canton Center Rd;Canton;MI;48187;8002194278;460879;
Childtime;49810 Cherry Hill Road;Canton;MI;48188;8002194276;42832;
Tutor Time;2914 S Canton Center Rd;Canton;MI;48188;8002194278;460880;
Childtime;3031 W Grand Blvd;Detroit;MI;48202;8002194276;460891;
Childtime;19251 Mack Ave;Grosse Pointe Woods;MI;48236;8002194276;42833;
Childtime;500 Renaissance Drive West;Detroit;MI;48243;8002194276;42835;
Tutor Time;8305 E 14 Mile Rd;Sterling Heights;MI;48312;8002194278;460881;
Tutor Time;33055 Hayes Rd;Sterling Heights;MI;48312;8002194278;41497;
Childtime;49143 Hayes Rd;Shelby Township;MI;48315;8002194276;41338;
Tutor Time;47177 Hayes Rd;Shelby Township;MI;48315;8002194278;41498;
Childtime;5959 24 Mile Rd;Shelby Township;MI;48316;8002194276;460892;
Tutor Time;6799 Daly Road;West Bloomfield Township;MI;48322;8002194278;42075;
Childtime;36730 W 12 Mile Rd;Farmington Hills;MI;48331;8002194276;460834;
Tutor Time;24440 Orchard Lake Rd;Farmington Hills;MI;48336;8002194278;460882;
Childtime;5230 Bogie Lake Rd;Commerce Township;MI;48382;8002194276;381332;
Tutor Time;8011 Commerce Road;Commerce Township;MI;48382;8002194278;381338;
Tutor Time;1230 N Pontiac Trail;Walled Lake;MI;48390;8002194278;42076;
Tutor Time;1150 Commerce Park Dr;Dewitt;MI;48820;8002194278;39859;
Tutor Time;2273 Club Meridian Dr;Okemos;MI;48864;8002194278;40436;
Childtime;920 Jerome St;Lansing;MI;48912;8002194276;40328;
Tutor Time;6500 Constitution Blvd;Portage;MI;49024;8002194278;40735;
Tutor Time;598 Baldwin St;Jenison;MI;49428;8002194278;42257;
Childtime;3916 52nd Street SE;Kentwood;MI;49508;8002194276;40784;
Tutor Time;3280 Grand Ridge Dr NE;Grand Rapids;MI;49525;8002194278;460883;
Childtime;1901 East Paris Ave SE;Grand Rapids;MI;49546;8002194276;40783;
Tutor Time;6690 Old 28th St SE;Grand Rapids;MI;49546;8002194278;40931;
Childtime;718 NE Grant St;Ankeny;IA;50021;8002194276;370194;
La Petite Academy;929 E 1st St;Ankeny;IA;50021;8002077313;370893;
Childtime;610 Center St;Des Moines;IA;50309;8002194276;370734;
La Petite Academy;5708 SW 9th St;Des Moines;IA;50315;8002077313;370755;
La Petite Academy;1504 Mall Dr;Iowa City;IA;52240;8002077313;370421;
La Petite Academy;1350 Blairs Ferry Rd;Cedar Rapids;IA;52402;8002077313;370293;
La Petite Academy;10320 74th St;Kenosha;WI;53142;8002077313;346128;
La Petite Academy;20550 Watertown Rd;Waukesha;WI;53186;8002077313;346126;
La Petite Academy;1821 Woodburn Rd;Waukesha;WI;53188;8002077313;346127;
La Petite Academy;11 Karl Ave;Belleville;WI;53508;8002077313;346122;
La Petite Academy;665 E Netherwood St;Oregon;WI;53575;8002077313;346124;
La Petite Academy;635 Lincoln Ave;Stoughton;WI;53589;8002077313;346120;
