"provider_id";"date";"id";"outcome";"category";"roi_url"
"0011J000017VV6uQAG";" 7/5/2018";101171;"Founded";"Harsh Treatment";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MSGC/orrBgfxb5sARdYg.eekMchQtR_DW1XypFx.wErTi59M"
"0011J000017VV6uQAG";" 6/15/2018";99489;"Founded";"Facility Condition/safety";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MQq8/6Ke7r1jEfhILX2RWuEZJALozoAkE2y4PAGjGXpgCiQ4"
"0011J000017VV6uQAG";" 6/15/2018";99489;"Unfounded";"Food/Nutrition";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MQq8/6Ke7r1jEfhILX2RWuEZJALozoAkE2y4PAGjGXpgCiQ4"
"0011J000017VV6uQAG";" 6/15/2018";99489;"Unfounded";"Staff to Child Ratio";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MQq8/6Ke7r1jEfhILX2RWuEZJALozoAkE2y4PAGjGXpgCiQ4"
"0011J000017VV6vQAG";" 9/25/2018";104615;"Unfounded";"Other";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MYv6/itig0MgWUsb6zBZYDMVa8UV.PmLaFeZublVm4zTOjhI"
"0011J000017VV6vQAG";" 9/25/2018";104615;"Unfounded";"Other";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MYv6/itig0MgWUsb6zBZYDMVa8UV.PmLaFeZublVm4zTOjhI"
"0011J000017VV6vQAG";" 9/25/2018";104615;"Unfounded";"Other";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MYv6/itig0MgWUsb6zBZYDMVa8UV.PmLaFeZublVm4zTOjhI"
"0011J000017VV6vQAG";" 9/25/2018";104615;"Unfounded";"Other";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MYv6/itig0MgWUsb6zBZYDMVa8UV.PmLaFeZublVm4zTOjhI"
"0011J000017VV6xQAG";" 9/9/2019";121749;"Founded";"Facility Condition/safety";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000XeF7/Bkfi8vmd.yGCSq0wy7zllp8NFihQpUDkjRKZw1p.uXY"
"0011J000017VV6zQAG";" 10/2/2019";122433;"Unfounded";"Staff to Child Ratio";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Ab1o/v52LKvZ8v9o7haD8hiB1fzAIs1LDwYpQoOx11entv0E"
"0011J000017VV6zQAG";" 10/2/2019";122433;"Founded";"Other";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Ab1o/v52LKvZ8v9o7haD8hiB1fzAIs1LDwYpQoOx11entv0E"
"0011J00001BFqWfQAL";" 1/30/2018";93151;"Unfounded";"Staff to Child Ratio";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Md4H/xiaOE1edGXphs51T9GYZ45i52dHoJsavdYKARLg0o3Y"
"0011J00001BFqWfQAL";" 1/30/2018";93151;"Unfounded";"Staff Qualifications";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Md4H/xiaOE1edGXphs51T9GYZ45i52dHoJsavdYKARLg0o3Y"
"0011J00001BFqWfQAL";" 1/30/2018";93151;"Unfounded";"Other";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Md4H/xiaOE1edGXphs51T9GYZ45i52dHoJsavdYKARLg0o3Y"
"0011J00001BFqWfQAL";" 1/30/2018";93151;"Unfounded";"Business/Financial";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Md4H/xiaOE1edGXphs51T9GYZ45i52dHoJsavdYKARLg0o3Y"
"0011J00001BFqWfQAL";" 1/30/2018";93151;"Unfounded";"Lack of Supervision";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Md4H/xiaOE1edGXphs51T9GYZ45i52dHoJsavdYKARLg0o3Y"
"0011J00001BHDYXQA5";" 8/19/2019";119953;"Unfounded";"Business/Financial";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Xcrs/vQkYTwMVUYBrHoGC_xg9CePIBY6RUfcpejfymR5ylWg"
"0011J00001BIFBkQAP";" 2/5/2020";128719;"Unfounded";"Drugs or Alcohol";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000AbNV/og6iUC_aTfFdOlcXmCh9AlO56xgXEcBa2zVW_Aqm5ks"
"0011J00001CPmSwQAL";" 10/28/2019";123647;"Founded";"Other";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Xgx6/g.NsiX0YzgbwQ.7zp4OXnJiXEl_248HUgBqyl3SZnJ4"
"0011J00001CPmSwQAL";" 10/28/2019";123647;"Founded";"Staff to Child Ratio";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Xgx6/g.NsiX0YzgbwQ.7zp4OXnJiXEl_248HUgBqyl3SZnJ4"
"0011J00001CPmSwQAL";" 10/28/2019";123647;"Founded";"Facility Condition/safety";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Xgx6/g.NsiX0YzgbwQ.7zp4OXnJiXEl_248HUgBqyl3SZnJ4"
"0011J00001CPmSwQAL";" 10/3/2019";117843;"Founded";"Staff to Child Ratio";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Xfdj/k1Up.vfEMB7bWjyDz4R4QiCDaPDLY3zXRfpYHA1.rsw"
"0011J00001CPmSwQAL";" 10/3/2019";117843;"Founded";"Other";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Xfdj/k1Up.vfEMB7bWjyDz4R4QiCDaPDLY3zXRfpYHA1.rsw"
"0011J00001CPmSwQAL";" 10/3/2019";118195;"Founded";"Staff to Child Ratio";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Xfdo/nfNmDQFQEhEsR45KggQFVO06mNl4z2Wc0e.bS7pJtQY"
"0011J00001CPmSwQAL";" 10/3/2019";118195;"Unfounded";"Harsh Treatment";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Xfdo/nfNmDQFQEhEsR45KggQFVO06mNl4z2Wc0e.bS7pJtQY"
"0011J00001CPmSwQAL";" 10/3/2019";118195;"Founded";"Lack of Supervision";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Xfdo/nfNmDQFQEhEsR45KggQFVO06mNl4z2Wc0e.bS7pJtQY"
"0011J00001CPmSwQAL";" 10/3/2019";118195;"Founded";"Other";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Xfdo/nfNmDQFQEhEsR45KggQFVO06mNl4z2Wc0e.bS7pJtQY"
