"provider_id";"provider_license_id";"inspectionDate";"inspectionType";"reportFile";"inspectionTime";"inspectionTimeout";"inspectionInspector";"accountName";"accountStreet";"accountCity";"accountState";"accountZip";"accountPhone"
2048;94727;"04/23/2019";"Semi-annual";"PMS Bernalillo Head Start -  Survey Report_04_23_2019_8CCFBF9D-5F1E-451F-A2C5-1116CA23B24F.pdf";"9:30 AM";"10:47 AM";"Kia Kennedy";"New Mexico CYFD";"PO BOX 5160";"SANTA FE";"NM";87502;"505-827-4577"
2048;94727;"12/05/2018";"Follow-up";"PMS Bernalillo Head Start -  Survey Report_12_05_2018_9E804FAF-6836-4284-95C0-FE1B630873B8.pdf";"1:30 PM";"1:53 PM";"Kia Kennedy";"New Mexico CYFD";"PO BOX 5160";"SANTA FE";"NM";87502;"505-827-4577"
2048;94727;"10/18/2018";"Annual";"PMS Bernalillo Head Start -  Survey Report_10_18_2018_D2EFEC95-C0D5-4D27-9527-35B6390E76BE.pdf";"11:00 AM";"1:15 PM";"Kia Kennedy";"New Mexico CYFD";"PO BOX 5160";"SANTA FE";"NM";87502;"505-827-4577"
2048;94727;"05/31/2018";"Follow-up";"PMS Bernalillo Head Start -  Survey Report_05_31_2018_3D7DDF12-DD8F-4A34-8D49-735E9D4683DB.pdf";"9:11 AM";"9:24 AM";"Kia Kennedy";"New Mexico CYFD";"PO BOX 5160";"SANTA FE";"NM";87502;"505-827-4577"
2048;94727;"04/19/2018";"Semi-Annual";"PMS Bernalillo Head Start -  Survey Report_04_19_2018_FE112991-5551-4652-9AC3-2460ADAF80AC.pdf";"9:30 AM";"10:30 AM";"Kia Kennedy";"New Mexico CYFD";"PO BOX 5160";"SANTA FE";"NM";87502;"505-827-4577"
2048;94727;"01/09/2018";"Follow-up";"PMS Bernalillo Head Start - Public Report_01_09_2018_F5E4180B-56E7-420E-816F-41D577222F55.pdf";"00:00 AM";;"Kia Kennedy";"New Mexico CYFD";"PO BOX 5160";"SANTA FE";"NM";87502;"505-827-4577"
2048;94727;"10/10/2017";"Annual";"PMS Bernalillo Head Start - Public Report_10_10_2017_840D1A17-EC40-4580-805D-A316C15E4083.pdf";"00:00 AM";;"Kia Kennedy";"New Mexico CYFD";"PO BOX 5160";"SANTA FE";"NM";87502;"505-827-4577"
2048;94727;"05/17/2017";"Semi-Annual";"PMS Bernalillo Head Start - Public Report_05_17_2017_ED83826F-4264-4001-846F-2C9CDE866A14.pdf";"00:00 AM";;"Kia Kennedy";"New Mexico CYFD";"PO BOX 5160";"SANTA FE";"NM";87502;"505-827-4577"
2048;94727;"10/20/2016";"Annual";"PMS Bernalillo Head Start - Public Report_10_20_2016_D12B854E-B707-426F-99FC-BFE085D306ED.pdf";"00:00 AM";;"Kia Kennedy";"New Mexico CYFD";"PO BOX 5160";"SANTA FE";"NM";87502;"505-827-4577"
2048;94727;"12/05/2016";"Follow-up";"PMS Bernalillo Head Start - Public Report_12_05_2016_AE637A26-3E5F-4A5E-9560-34AC7EB46F19.pdf";"00:00 AM";;"Kia Kennedy";"New Mexico CYFD";"PO BOX 5160";"SANTA FE";"NM";87502;"505-827-4577"
2048;94727;"05/27/2016";"Follow-up";"PMS Bernalillo Head Start - Public Report_05_27_2016_91B828A7-A48D-489B-9666-287EFD475D9E.pdf";"00:00 AM";;"Kia Kennedy";"New Mexico CYFD";"PO BOX 5160";"SANTA FE";"NM";87502;"505-827-4577"
1529;90433;"04/25/2019";"Semi-annual";"PB & J Family Services Inc. -  Survey Report_04_25_2019_3A8594D3-804F-468A-A13A-92CACF3CE7DE.pdf";"9:30 AM";"10:52 AM";"Kia Kennedy";"New Mexico CYFD";"PO BOX 5160";"SANTA FE";"NM";87502;"505-827-4577"
1529;90433;"11/26/2018";"Follow-up";"PB & J Family Services Inc. -  Survey Report_11_26_2018_DAF9ACA0-697B-488F-9DE4-C1A6DA8799AB.pdf";"3:25 PM";"3:33 PM";"Kia Kennedy";"New Mexico CYFD";"PO BOX 5160";"SANTA FE";"NM";87502;"505-827-4577"
1529;90433;"10/24/2018";"Annual";"PB & J Family Services Inc. -  Survey Report_10_24_2018_AD7618B1-E2DE-4B8C-B90B-14D69A077822.pdf";"9:50 AM";"11:56 AM";"Kia Kennedy";"New Mexico CYFD";"PO BOX 5160";"SANTA FE";"NM";87502;"505-827-4577"
1529;90433;"06/08/2018";"Follow-up";"PB & J Family Services Inc. -  Survey Report_06_08_2018_5F405E42-15CE-4ADF-9E7D-D165F469B51E.pdf";"8:01 AM";"8:06 AM";"Kia Kennedy";"New Mexico CYFD";"PO BOX 5160";"SANTA FE";"NM";87502;"505-827-4577"
1529;90433;"04/24/2018";"Semi-Annual";"Peanut Butter&Jelly Family Svcs -  Survey Report_04_24_2018_8E674951-2E79-4347-A155-F102DDC66D62.pdf";"10:00 AM";"11:20 AM";"Kia Kennedy";"New Mexico CYFD";"PO BOX 5160";"SANTA FE";"NM";87502;"505-827-4577"
