"id";"name";"address";"city";"state";"zip";"county";"phone";"main url";"email";"details";"location website";"facebook page";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url";"monday hour";"tuesday hour";"wednesday hour";"thursday hour";"friday hours";"saturday hour";"sunday hour";"notes"
1178536;"J.F. DULLES ELEMENTARY";"6481 BRIDGETOWN ROAD";"CINCINNATI";"OH";45248;"HAMILTON";7402086337;"http://www.ohlsd.us/";;"Our work continues at JF Dulles Elementary School to build students with strong character, academic excellence and exemplary citizenship! To enhance all that we do to ensure a positive learning environment, the JFD community embraces Positive Behavior Support Intervention Systems";"http://www.ohlsd.us/jf-dulles-elementary-school/";"https://www.facebook.com/pages/John-Foster-Dulles-Elementary-School/318125198396101";"http://www.ohlsd.us/departments/hr---employment-9/";"http://www.ohlsd.us/jf-dulles-elementary-school/registration-22/";"http://www.ohlsd.us/media/jfd/JFD%20Student%20Handbook%2018-19.pdf";;;"x";"x";"x";;"http://www.ohlsd.us/layout/images/logoJFDulles.png";"9AM - 3:30PM";"9AM - 3:30PM";"9AM - 3:30PM";"9AM - 3:30PM";"9AM - 3:30PM";"Closed";"Closed";
1178539;"JACKSON CENTER ELEMENTARY SCHOOL";"204 S LINDEN ST";"JACKSON CENTER";"OH";45334;"SHELBY";9375966053;"http://www.jackson-center.k12.oh.us/";"g_heuker@jctigers.org";"The Jackson Center Local School District is located in northeast Shelby County.  The district has one large building complex which houses over 550 students in grades pre- K-12, with 41 certified staff members.  The district also contains a branch of the Shelby Hills school which services 3 and 4 year olds.  The district provides a innovative curriculum and schedule for elementary and middle school children that is designed to fit the individual needs of all students.  For example, our teachers specialize in subjects starting at the kindergarten level so even 5 and 6 year olds change classes during the day.";"http://www.jackson-center.k12.oh.us/";"https://www.facebook.com/pages/Jackson-Center-Elementary-School/1504021953214994";;"http://www.jackson-center.k12.oh.us/Documents/JC_PreK_registrationform.pdf";"http://www.jackson-center.k12.oh.us/Documents/2017_2018_JC_Elem_Prim_Planner_HB_8X10.pdf";;;"x";"x";;;"http://www.jackson-center.k12.oh.us/Site/themed_images/themed_image.png";"7:25AM - 2:45PM";"7:25AM - 2:45PM";"7:25AM - 2:45PM";"7:25AM - 2:45PM";"7:25AM - 2:45PM";"Closed";"Closed";
1178540;"JACKSON HIGH SCHOOL";"500 VAUGHN ST";"JACKSON";"OH";45640;"JACKSON";7402867575;"http://jcs.k12.oh.us/wordpress/";"thaines@jcs.k12.oh.us";"At JHS, our students have multiple opportunities (College Prep, Advanced Placement and Vocational Programs) to pursue courses of study to develop a solid foundation upon which to build further educational progress, as well as the necssary skills for direct entry into the workforce.";"http://jcs.k12.oh.us/wordpress/?page_id=20";"https://www.facebook.com/pages/Jackson-High-School/112306972115065";"http://jcs.k12.oh.us/wordpress/?page_id=7449";"http://jcs.k12.oh.us/wordpress/wp-content/uploads/page/1366/New-Student-Registration2.pdf";"http://jcs.k12.oh.us/wordpress/wp-content/uploads/page/11733/2017-2018-JHS-JMS-Handbook.pdf";;;;;;;;;;;;;;;
1178542;"JACKSON NORTHVIEW ELEMENTARY SCHOOL";"11507 CHILLICOTHE PIKE";"JACKSON";"OH";45640;"JACKSON";7402862390;"http://jcs.k12.oh.us/wordpress/";"mball@jcs.k12.oh.us";"We know the importance of a caring environment. Our students will become part of the Northview family. We are always eager to hear what our parents have to say. If you have input please feel free to send an email or make a phone call. We want all parents, grandparents, and children to feel welcome at our school. We encourage all parents to come in and volunteer their time either in the classroom, library, or during parties. We have many opportunities throughout the year that would benefit the children by having a few volunteers to help our teachers in the classroom.";"http://jcs.k12.oh.us/wordpress/?page_id=24";"https://www.facebook.com/pages/Jackson-Northview-Elementary-School/1728563874035407";"http://jcs.k12.oh.us/wordpress/?page_id=7449";"http://jcs.k12.oh.us/wordpress/wp-content/uploads/page/1366/New-Student-Registration2.pdf";;;;;"x";;;;;;;;;;;
1178543;"JACKSON WESTVIEW ELEMENTARY SCHOOL";"16349 BEAVER PIKE";"JACKSON";"OH";45640;"JACKSON";7402866442;"http://jcs.k12.oh.us/wordpress/";"kochsenbein@jcs.k12.oh.us";"Welcome to Westview Elementary School! Our teachers, staff, administration, and parents work together to provide our students with positive learning experiences.  Westview is composed of Preschool through 5th grade students.  We believe that all students can achieve and succeed in our school.  Our children are our top priority.  We are dedicated to preparing them for success and encourage our students to have a love of learning.  You are always welcome to be a part of our team and be involved in your student's education.  We look forward to an awesome year filled with new learning experiences, exciting chances to grow, and opportunities to build positive relationships that will last a lifetime.";"http://jcs.k12.oh.us/wordpress/?page_id=28";"https://www.facebook.com/pages/Jackson-Westview-Elementary-School/739121162833975";"http://jcs.k12.oh.us/wordpress/?page_id=7449";"http://jcs.k12.oh.us/wordpress/wp-content/uploads/page/1366/New-Student-Registration2.pdf";;;;;"x";;;;;;;;;;;
1178545;"JACKSON-MILTON SCHOOL";"14110 MAHONING AVE";"NORTH JACKSON";"OH";44451;"MAHONING";3309657828;"http://www.jacksonmilton.k12.oh.us/";"kim.fisk@jmlocal.com";"Jackson-Milton Elementary is committed to helping your child reach his/her fullest potential. We belive that school plays an important role in the social and emotional development of each child, as well as the academic area. For us to attain this goal it is imperative that the school and family work cooperatively as a team with a common focus - your child.";"http://www.jacksonmilton.k12.oh.us/3/Home";"https://www.facebook.com/pages/Jackson-Milton-Elementary-School/369926736500137";"http://www.jacksonmilton.k12.oh.us/Employment";"http://www.jacksonmilton.k12.oh.us/docs/building/3/open%20enrollment%20policy%20and%20application%202018-2019.pdf?id=557851";"http://www.jacksonmilton.k12.oh.us/docs/building/3/elementary%20school%20student-parent%20handbook%202017-2018.pdf?id=555796";;;;"x";;;;"8:15AM - 3:30PM";"8:15AM - 3:30PM";"8:15AM - 3:30PM";"8:15AM - 3:30PM";"8:15AM - 3:30PM";"Closed";"Closed";
1178549;"JAMES A GARFIELD ELEMENTARY SCHOOL";"10207 STATE ROUTE 88";"GARRETTSVILLE";"OH";44231;"PORTAGE";3305272184;"https://www.garfield.sparcc.org/";"kleindecker@jagschools.org";"The Mission of the James A. Garfield Schools is to serve our district by providing educational opportunities for all to become lifelong learners and productive members of society. Our preschool classrooms are designed as ""center-based"" learning environments. Centers are structured learning areas where students can move freely and explore the materials in a meaningful and natural way. Play is children's work.";"https://www.garfield.sparcc.org/o/jag-elementary";"https://www.facebook.com/jagschools/";;;"https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/81588/Preschool_Handbook_2017.pdf";;;"x";"x";;;"https://www.garfield.sparcc.org/assets/apptegy_cms/themes/jagoh/logo-3183bf40333527fe3c88a8a0fe59a340.png";"8:50AM - 3:25PM";"8:50AM - 3:25PM";"8:50AM - 3:25PM";"8:50AM - 3:25PM";"8:50AM - 3:25PM";"Closed";"Closed";
1178550;"JAMES A HARMON ELEMENTARY SCHOOL";"1861 GANTZ RD";"GROVE CITY";"OH";43123;"FRANKLIN";6148018150;"http://hes.swcsd.us/";"michael.wang@swcsd.us";"Harmon is a school that provides high expectations for learners by personalizing and individualizing instruction. The students and staff pride themselves on maintaining an outstanding environment for learning by practicing the seven core virtues that are cornerstones of the Basic School Concept. These virtues provide students with a blueprint of how to treat each other as well as how to maximize student, staff and family efforts in regards to academic and social growth.";"http://hes.swcsd.us/";;;"https://sites.google.com/swcsd.us/swcsdenrollment";"https://docs.google.com/a/swcsd.us/viewer?a=v&pid=sites&srcid=c3djc2QudXN8aGVzfGd4OjNlYjdmZDJiYmJjOWQwZTA";;;;"x";;;"http://hes.swcsd.us/_/rsrc/1400171649666/config/customLogo.gif?revision=7";"8:20AM - 2:40PM";"8:20AM - 2:40PM";"8:20AM - 2:40PM";"8:20AM - 2:40PM";"8:20AM - 2:40PM";"Closed";"Closed";
1178551;"JAMES A. GARFIELD ELEMENTARY SCHOOL";"1170 BROOKSIDE RD";"MARION";"OH";43302;"MARION";7402234444;"https://www.marioncityschools.org/";"mbailey@mcspresidents.org";"Garfield Elementary School strives to encourage students to be a Garfield STAR. STAR stands for Safety, Thinking, Accountable and Respect. Our students know that they are to be accountable, show respect.";"https://www.marioncityschools.org/schools/garfield-elementary";"https://www.facebook.com/Garfield-Elementary-School-652814708131294/";"https://www.marioncityschools.org/professional-capital/apply-at-mcs";"https://www.marioncityschools.org/parents-and-students/enrollment";"https://www.marioncityschools.org/schools/garfield-elementary/student-handbook";;;;"x";;;"https://www.marioncityschools.org/uploaded/themes/default-17/images/logo.svg";"8:30AM - 3:30PM";"8:30AM - 3:30PM";"8:30AM - 3:30PM";"8:30AM - 3:30PM";"8:30AM - 3:30PM";"Closed";"Closed";
1178552;"JAMES CONGER ELEMENTARY SCHOOL";"10 CHANNING ST";"DELAWARE";"OH";43015;"DELAWARE";7408331300;"https://www.dcs.k12.oh.us/";"pagejo@delawarecityschools.net";"The Delaware City Schools will promote a culture of excellence that engages and empowers students and staff to embrace the challenges of our global society. We will build on our traditions, respect our diversity, and partner for a strong community.";"https://www.dcs.k12.oh.us/page/2770";;;"https://www.dcs.k12.oh.us/site/Default.aspx?PageID=217";"https://www.dcs.k12.oh.us/cms/lib/OH16000212/Centricity/Domain/422/2018-19%20Student%20Handbook.pdf";;;"x";"x";;;"https://www.dcs.k12.oh.us/cms/lib/OH16000212/Centricity/Template/GlobalAssets/images///logos/DCS-var7-web-200px-TM2.png";"8:30AM - 3:15PM";"8:30AM - 3:15PM";"8:30AM - 3:15PM";"8:30AM - 3:15PM";"8:30AM - 3:15PM";"Closed";"Closed";
