"id";"name";"address";"city";"state";"zip";"county";"phone";"main url";"email";"details";"location website";"facebook page";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url";"monday hour";"tuesday hour";"wednesday hour";"thursday hour";"friday hours";"saturday hour";"sunday hour";"notes"
1176799;"Aspire Early Learning Academy, LLC #2";"320 South Lake Drive";"Lexington";"SC";29072;"LEXINGTON";"(803) 356-0650";"http://aspireearlylearningacademy.com/";" AspireEarlyLearningAcademy@gmail.com.";"We prepare your preschooler for kindergarten in a positive, safe, loving, and fun environment that focuses on academics and social interactions.";"http://aspireearlylearningacademy.com/contact/";"https://www.facebook.com/AspireAcademy2/";"http://aspireearlylearningacademy.com/employment/";"http://aspireearlylearningacademy.com/registration/";;"x";"x";"x";"x";;;"http://aspireearlylearningacademy.com/wp-content/uploads/2017/11/Aspire-Logo-300x213.jpg";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"Closed";"Closed";
1176802;"Montessori School of Lexington";"1901 Augusta Highway";"Lexington";"SC";29072;"LEXINGTON";"(803) 490-0209";"http://www.montessorischooloflexington.com/";"MontessoriSchoolOfLexington@gmail.com";"At MSL we emphasize independence, freedom within limits, and respect for a child’s natural psychological, physical, and social development";"http://www.montessorischooloflexington.com/";"https://www.facebook.com/montessorischooloflexington/";;;"http://www.montessorischooloflexington.com/";;;"x";"x";;;"https://scontent.fskp2-1.fna.fbcdn.net/v/t1.0-1/c40.0.200.200/p200x200/15578547_1808281702761772_7836447418734905679_n.jpg?_nc_cat=0&oh=791469aedd50f74a5d63ba02a6967a1d&oe=5BB77B7C";"7:30AM - 5:30PM";"7:30AM - 5:30PM";"7:30AM - 5:30PM";"7:30AM - 5:30PM";"7:30AM - 5:30PM";"Closed";"Closed";
1176805;"Little Mountain Elementary School";"692 Mill Street";"Little Mountain";"SC";29075;"NEWBERRY";"(803) 945-7721";"http://littlemountainelem.sc.nce.schoolinsites.com/";"kmack@newberry.k12.sc.us";"Little Mountain Elementary, a historical community school strongly supported by parental and community involvement, is the setting for 402 “Winning Wildcats.”";"http://littlemountainelem.sc.nce.schoolinsites.com/";"https://www.facebook.com/LittleMountainElementary/";;"http://littlemountainelem.sc.nce.schoolinsites.com/?PageName=%27Forms%27&iSection=%27Administrative%27&CorrespondingID=%270%27";"http://littlemountainelem.sc.nce.schoolinsites.com/?PageName=bc&n=228412";;;"x";"x";;;"https://scontent.fskp2-1.fna.fbcdn.net/v/t1.0-1/p200x200/20525641_836835333146592_8679089718120983762_n.jpg?_nc_cat=0&oh=8f044a54f4ded1ff2c2d91b771fbabfe&oe=5BB1EF4E";"7:30AM - 2:40PM";"7:30AM - 2:40PM";"7:30AM - 2:40PM";"7:30AM - 2:40PM";"7:30AM - 2:40PM";"Closed";"Closed";
1176806;"Holy Trinity Catholic School";"1760 Living Stones Lane";"Longs";"SC";29568;"HORRY";"(843) 390-4108";"http://www.htcatholicschoolmyrtlebeach.com/";"MMCCONNELL@charlestondiocese.org";"Holy Trinity Catholic School, a ministry of Our Lady Star of the Sea Parish, offers toelementary students of diverse ethnic, economic and religious backgrounds a superioracademic program based on Gospel values. Within a family atmosphere, the schoolstrives to develop the spiritual, academic, personal, creative and physical growth of eachstudent.";"http://www.htcatholicschoolmyrtlebeach.com/our-school.html";;;"http://www.htcatholicschoolmyrtlebeach.com/admissions.html";"http://www.htcatholicschoolmyrtlebeach.com/school-handbook.html";;;"x";"x";;;"http://www.htcatholicschoolmyrtlebeach.com/uploads/7/4/5/6/7456121/logo_orig.jpg";"7:40AM - 2:40PM";"7:40AM - 2:40PM";"7:40AM - 2:40PM";"7:40AM - 2:40PM";"7:40AM - 2:40PM";"Closed";"Closed";
1176811;"Anderson Mill Elementary";"1845 Old Anderson Mill road";"Moore";"SC";29369;"SPARTANBURG";"(864) 576-6539";"https://ames.spart6.org/";"haunbd@spart6.org";"The mission of Anderson Mill Elementary School is to develop competent and confident lifelong learners by creating a safe, positive, innovative, environment where the staff, parents, and community work together to provide a curriculum that recognizes individual differences and allows for students to reach their maximum potential. ";"https://ames.spart6.org/";"https://www.facebook.com/Anderson-Mill-Elementary-School-168095213204419/";;;;;;"x";"x";"x";;;"7:30AM - 2:30PM";"7:30AM - 2:30PM";"7:30AM - 2:30PM";"7:30AM - 2:30PM";"7:30AM - 2:30PM";"Closed";"Closed";
1176812;"Lowcountry Learners";"1210 Hospital Drive";"Mount Pleasant";"SC";29464;"CHARLESTON";"(843) 388-1949";"https://trisib.wixsite.com/learners";"info@lowcountrylearners.com";"Education is the most powerful weapon which   you can use to change the world";"https://trisib.wixsite.com/learners";"https://www.facebook.com/lowcountrylearners/";;"https://trisib.wixsite.com/learners/Programs";;;;"x";"x";;"x";"https://static.wixstatic.com/media/cba2e1_da1546a939524e30bac5b6835aa8aa47~mv2.jpg/v1/fill/w_595,h_229,al_c,q_80,usm_0.66_1.00_0.01/cba2e1_da1546a939524e30bac5b6835aa8aa47~mv2.webp";;;;;;;;
1176813;"Primrose School of Mount Pleasant";"2674 Brickside Lane";"Mount Pleasant";"SC";29466;"CHARLESTON";"(843) 972-2604";"https://www.primroseschools.com/";"ccaldwell@primrosemountpleasant.com";"With purposeful play and nurturing guidance from teachers, our Balanced Learning approach inspires children to think in more ways: with creativity, compassion and resourcefulness. This time-tested approach instills a love of learning and discovery that helps your child develop and excel for years.";"https://www.primroseschools.com/schools/mount-pleasant/";"https://www.facebook.com/PrimroseMountPleasant/";"https://www.primroseschools.com/schools/mount-pleasant/careers/";;;"x";"x";"x";"x";"x";"x";"https://scontent.fskp2-1.fna.fbcdn.net/v/t1.0-1/p200x200/19030524_935260919945055_6648307487083022964_n.png?_nc_cat=0&oh=dd69dd307308907a66b25ed12bc8618a&oe=5BA712EF";"6:30AM-6PM";"6:30AM-6PM";"6:30AM-6PM";"6:30AM-6PM";"6:30AM-6PM";"Closed";"Closed";
1176814;"The Preschool of the Arts at The Center for Jewish Life";"477 Mathis Ferry Road";"Mount Pleasant";"SC";29464;"CHARLESTON";"(843) 884-2323";"http://preschooloftheartscharleston.com/";"rachel@preschooloftheartscharleston.com";"We maintain a safe, healthy, nurturing, and engaging environment for children, where all social, emotional, and cognitive developmental needs are addressed. Opportunities are provided for children to take responsibility, make decisions, and learn through play in mixed-aged classrooms.";"http://preschooloftheartscharleston.com/";;;"http://preschooloftheartscharleston.com/application-process/";;;"x";"x";"x";;;"http://preschooloftheartscharleston.com/wp-content/uploads/2017/03/hp_logo.png";"9AM - 3PM";"9AM - 3PM";"9AM - 3PM";"9AM - 3PM";"9AM - 3PM";"Closed";"Closed";
1176815;"My Sunshine Child Development Center";"3631 Socastee Bvld";"Myrtle Beach";"SC";29588;"HORRY";"(843) 293-3080";"https://www.mysunshinecdc.com/";"mysunshinecdc@gmail.com";"We are a family oriented child care center, providing a loving, caring, and fun environment for your little ones to grow and learn in. When you are here you and your family become apart of our family.";"https://www.mysunshinecdc.com/";"https://www.facebook.com/mysunshinecdc";;;"https://www.mysunshinecdc.com/Programs";"x";"x";"x";"x";;;;"7AM-6PM";"7AM-6PM";"7AM-6PM";"7AM-6PM";"7AM-6PM";"Closed";"Closed";
1176816;"Kids Unlimited Too";"1911 Golden Street";"Newberry";"SC";29108;"NEWBERRY";;;;;;;;;;;;;;;;;;;;;;;;
1176817;"True Foundations Learning Center";"1817 Hidden Hills Road";"North Augusta";"SC";29841;"AIKEN";"(803) 613-6290";;"truefoundationsfamily@gmail.com";"""Building Strong Futures"" is the heartbeat of the Learning Center. We are focused on providing the best in early learning experiences for each child.";;"https://www.facebook.com/TrueFoundationsFamily/";;;;;;;;;;"https://scontent.fskp2-1.fna.fbcdn.net/v/t31.0-8/26170397_1024181061056441_8646966637757599795_o.jpg?_nc_cat=0&oh=2b2da4b0f80baf5d9c241e595e6efa0d&oe=5BB92181";"7AM-6PM";"7AM-6PM";"7AM-6PM";"7AM-6PM";"7AM-6PM";"Closed";"Closed";
