"id";"name";"address";"city";"state";"zip";"county";"phone";"main url";"email";"details";"location website";"facebook page";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url";"monday hour";"tuesday hour";"wednesday hour";"thursday hour";"friday hours";"saturday hour";"sunday hour";"notes"
1174873;"VICTORY BAPTIST CHURCH";"6004 EAST SHIRLEY LANE";"MONTGOMERY";"AL";36117;"MONTGOMERY";"(334)313-5040";;;;;;;;;;;;;;;;;;;;;;;"License not renewed"
1174874;"12 PILLARS OF FAITH MINISTRY";"4521 MOBILE HIGHWAY P.O.";"MONTGOMERY";"AL";36124;"MONTGOMERY";"(334)467-8606";;;;;;;;;;;;;;;;;;;;;;;
1174870;"HIGHLAND GARDEN ELEMENTARY HEAD START";"2801 WILLENA AVENUE";"MONTGOMERY";"AL";36117;"MONTGOMERY";"(334)269-3685";"http://www.hgardens.mps-al.org/";;"We will engage, educate and inspire our students to succeed in college, career and beyond!";"http://www.hgardens.mps-al.org/";"https://www.facebook.com/pages/Highland-GardensElementarySchool/792736340787583";;"https://drive.google.com/file/d/1lVwTpXV2-hG44h6Ae5W6IDyNfjyXsOes/view";"https://drive.google.com/file/d/1GCDR8tIZ0Gd0cVBNBoNMaXa4K5wjOfuO/view";;;"x";"x";;;"http://p12cdn4static.sharpschool.com/UserFiles/Servers/Server_401138/Templates/montgomery_public_schools_logo.png";;;;;;;;
1174871;"LEGACY ANGLICAN CHURCH";"2323 BELL ROAD";"MONTGOMERY";"AL";36117;"MONTGOMERY";"(334)396-2001 ";"http://www.thelegacychurch.org/tlc/Home.html";" jacquelyn@thelegacychurch.org";"We desire to leave behind a church where our children and children's children can worship the God of the Bible, develop a living personal relationship with Him, and learn the word of God. ";"http://www.thelegacychurch.org/tlc/Childrens_Ministry.html";"https://www.facebook.com/LegacyAnglican/";;;;;;;;;;"http://www.thelegacychurch.org/tlc/Home_files/shapeimage_1.png";;;;;;;;
1174872;"NEW HOME HEAD START";"11015 JONES ROAD";"MONTGOMERY";"AL";36117;"MONTGOMERY";"(334)279-0306";"https://mcaccdcinc.org/programs/head-start-2/";;;;;;;;;;"x";"x";;;;;;;;;;;
1174878;"NEW BEGINNING MINISTRIES INTL. INC";"800 WEST POWELL STREET";"DOTHAN";"AL";36303;"HOUSTON";"(334)699-1780";"http://www.tpcnb.org/dothan-alabama.html";;;;;;;;;;;;;;;;;;;;;;
1174879;"VILLAGE BAPTIST CHURCH";"930 EAST BURDESHAW STREET";"DOTHAN";"AL";36303;"HOUSTON";"(334)699-1762";;;;;;;;;;;;;;;;;;;;;;;
1174876;"MUNFORD HEAD START CENTER";"49 RAILROAD STREET";"MUNFORD";"AL";36268;"TALLADEGA";"(256)358-0773";"http://www.headstartprogram.us/";;"Community Development Institute Head Start is providing interim services";"http://www.headstartprogram.us/program/munford-center";;;;;;;"x";"x";;;"http://www.headstartprogram.us/images/logo.png";;;;;;;;
1174877;"PAL-A-ROO'S DAYCARE";"1310 HODGESVILLE ROAD";"DOTHAN";"AL";36301;"HOUSTON";"(334)673-1717";"http://parentingfun411.com/";"palaroos@ymail.com";"To provide an environment that allows development in children and prepares them for the next stage in their life.";"http://parentingfun411.com/";"https://www.facebook.com/Pal-A-Roos-281008711909502/";;;;"x";"x";"x";"x";"x";;"https://scontent.fskp2-1.fna.fbcdn.net/v/t31.0-8/884592_571521589524878_1846564863_o.jpg?_nc_cat=0&oh=8af5a98d8323fcd8450bcf5eda38d7f3&oe=5B865682";;;;;;;;
1174875;"LINEVILLE HEAD START";"88584 HWY 9";"LINEVILLE";"AL";36266;"CLAY";"(256)396-6939";"http://www.headstartprogram.us/";"info@tcrchildcare.org";"TCR Child Care Corp's Cheaha Regional Head Start is innovative in leading the way, providing a comprehensive program of quality through respect and nurturing of children and families while setting Standards of Excellence.";"http://www.headstartprogram.us/program/lineville-head-start";;;;;;;"x";"x";;;"http://www.headstartprogram.us/images/logo.png";;;;;;;;
1174882;"EARLY YEARS DAYCARE & PRESCHOOL";"615 E MCKINNON STREET";"NEW BROCKTON";"AL";36351;"COFFEE";"(334)894-5073";;;;;;;;;;;;;;;;;;;;;;;
1174883;"CHRISTIAN FAITH FELLOWSHIP TEMPLE, INC.";"5013 ANDREWS AVNENUE";"OZARK";"AL";36360;"DALE";"(334)733-5735";;;;;;;;;;;;;;;;;;;;;;;"License not renewed"
1174881;"JACK IN A BOX DAYCARE & LEARNING CENTER";"1430 COUNTY ROAD 208";"JACK";"AL";36346;"COFFEE";"(334)897-1535";;"prescott.eddie@yahoo.com";"To provide quality pre-school learning and daycare for the children of the Jack and surrounding area at a fair and reasonable price.";;"https://www.facebook.com/Janedco-Inc-DBA-Jack-in-A-Box-Daycare-Learning-Center-134348749966040/";;;;;;;;;;;;;;;;;;
1174880;"TREEHOUSE CHRISTIAN PRESCHOOL";"700 SOUTH MAIN STREET";"HEADLAND";"AL";36345;"HENRY";"(334)693-0884";;;"Day care and preschool";;"https://www.facebook.com/Treehouse-Christian-Preschool-344559265727116/";;;;"x";"x";"x";;;;"https://scontent.fskp2-1.fna.fbcdn.net/v/t1.0-1/c34.0.193.193/10411953_344559612393748_8252682113334508080_n.jpg?_nc_cat=0&oh=e108c2f7de2b850a642b4618005daf8a&oe=5B865626";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"Closed";"Closed";
