"id";"name";"address";"city";"state";"zip";"county";"phone";"main url";"email";"details";"location website";"facebook page";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url";"monday hour";"tuesday hour";"wednesday hour";"thursday hour";"friday hours";"saturday hour";"sunday hour";"notes"
1178092;"DAWSON-BRYANT ELEMENTARY SCHOOL";"4503 STATE ROUTE 243";"IRONTON";"OH";45638;"LAWRENCE";7405326898;"http://www.db.k12.oh.us/";"angie.dillow@db.k12.oh.us";"The mission of Dawson Bryant Local School District is to ensure that each student who leaves the schools is an independent, self-motivated learner, has the basic tools and the self-confidence to be successful in life, and has behavioral traits to be a happy and contributing citizen.";"http://www.db.k12.oh.us/dawson-bryantelementary_home.aspx";"https://www.facebook.com/dbelementary/";;;;;;;"x";;;;;;;;;;;
1178093;"DAYCARE DISCOVERIES, LLC";"8035 FLYER DRIVE";"MARIA STEIN";"OH";45860;"MERCER";4199253025;;;;;;;;;;;;;;;;;;;;;;;
1178094;"DAYSTARZ CHILD CARE II";"5265 GENDER ROAD";"CANAL WHICHESTE";"OH";43110;"FRANKLIN";6144964556;;;;;;;;;;;;;;;;;;;;;;;
1178096;"DAYTON BOYS PREPARATORY ACADEMY";"1923 W 3RD ST";"DAYTON";"OH";45417;"MONTGOMERY";"(937) 542-5340";"http://www.dps.k12.oh.us/";"HLovelac@dps.k12.oh.us";"The mission of the Dayton Boys Prep Academy is to provide an environment that focuses on excellence in learning, character, leadership and personal accountability in a school of choice for boys.";"http://www.dps.k12.oh.us/dayton-boys-prep/";"https://www.facebook.com/DaytonBoys/";"http://www.dps.k12.oh.us/about-us/job-opportunities.html";"http://www.dps.k12.oh.us/students-parents/student-enrollment-and-records/online-student-registration.html";"http://www.dps.k12.oh.us/content/documents/2017-2018-HANDBOOK108.pdf";;;;"x";;;"http://www.dps.k12.oh.us/content/images/Dayton-Boys-Prep-Logo-2016-17-2.JPG";"6:55AM - 1:55PM";"6:55AM - 1:55PM";"6:55AM - 1:55PM";"6:55AM - 1:55PM";"6:55AM - 1:55PM";"Closed";"Closed";
1178097;"DAYTON ISLAMIC SCHOOL, INC";"3662 E PATTERSON RD";"BEAVERCREEK";"OH";45430;"Greene";"(937) 429-9477";"http://www.dis4u.org/";"sahmed@dis4u.org";"We are dedicated to having our students' succeed in this life and the hereafter.  We do this by offering Islamic Studies and Quran classes everyday and by offering level Arabic classes in addition to Math, Science, Language Arts, Social Studies and Physical Education.";"http://www.dis4u.org/";"https://www.facebook.com/DaytonIslamicSchool/";"http://www.dis4u.org/employment";"http://docs.wixstatic.com/ugd/6555aa_d6d0730f4fb54e63bc106b50c5a11ffd.pdf";;;;"x";"x";;;"https://static.wixstatic.com/media/6555aa_179d8fd7cfe449279e4d3a2978851afa.jpg/v1/fill/w_136,h_140,al_c,q_80,usm_0.66_1.00_0.01/6555aa_179d8fd7cfe449279e4d3a2978851afa.webp";;;;;;;;
1178098;"DAYTON LEADERSHIP ACADEMIES-EARLY LEARNING ACADEMY";"1416 W RIVERVIEW AVE";"DAYTON";"OH";45402;"MONTGOMERY";9375679426;"http://www.daytonleadershipacademies.com/";"vmcintosh@dlaeagles.org";"The DLA Soaring Eagles Enhancement Program is a free before and after school program. This is an exciting and educational opportunity, which also provides students with a nutritional meal and free bussing home. The goals of SEEP are to increase math and reading achievement, contribute to positive social development, and increase family engagement in school related activities.";"http://www.daytonleadershipacademies.com/BeforeandAfterSchoolProgram.aspx";"https://www.facebook.com/Dayton-Leadership-Academies-Dayton-View-Dayton-Liberty-Campuses-153853254632807/";"http://www.daytonleadershipacademies.com/JoinOurTeam.aspx";"http://www.daytonleadershipacademies.com/EnrollHere.aspx";"http://www.daytonleadershipacademies.com/Downloads/2017-2018%20Family%20Handbook.pdf";;;;"x";"x";"x";"http://www.daytonleadershipacademies.com/sysimages/logo.jpg";"7:30AM - 6PM";"7:30AM - 6PM";"7:30AM - 6PM";"7:30AM - 6PM";"7:30AM - 5:30PM";"Closed";"Closed";
1178101;"DEERFIELD TOWNSHIP SUMMER CAMP";"1780 KING AVENUE";"KINGS MILLS";"OH";45034;"WARREN";5137016977;"https://www.deerfieldrec.com/info/default.aspx";"sgebe@deerfieldtwp.com";"Each camp is designed around a weekly theme. Camp themes and activities vary each year. Campers will explore the outdoors, unleash their creativity, and release their energy! They'll enjoy age appropriate games, sports, art projects, nature exploration, and more.";"https://deerfieldrec.com/info/facilities/details.aspx?FacilityID=14792";;"https://www.deerfieldrec.com/info/dept/details.aspx?DeptInfoID=1075";"https://deerfieldrec.com/info/activities/program_details.aspx?ProgramID=29865";;;;;"x";;"x";;;;;;;;;
1178102;"DECOLORES MONTESSORI SCHOOL";"312 CENTRAL AVE";"GREENVILLE";"OH";45331;"DARKE";9375471334;;"decoloresmontessori@gmail.com";"DeColores Montessori School where love and learning never ends, serves curious infants through eighth graders in Greenville, Ohio. Founded in 1985. Principal, Nancy Dean.";;"https://www.facebook.com/DeColoresMontessoriSchool/";;;;;;;;;"x";"https://www.facebook.com/DeColoresMontessoriSchool/photos/a.434773699018.234484.186436559018/10151792298369019/?type=1&theater";"7AM - 5:30PM";"7AM - 5:30PM";"7AM - 5:30PM";"7AM - 5:30PM";"7AM - 5:30PM";"Closed";"Closed";
1178103;"DEFIANCE PRESCHOOL";"801 S CLINTON ST";"DEFIANCE";"OH";43512;"DEFIANCE";4197820955;;;;;;;;;;;;;;;;;;;;;;;
1178105;"DELAWARE AREA CAREER CENTER N SCHOOL";"1610 STATE ROUTE 521";"DELAWARE";"OH";43015;"DELAWARE";7405480708;"https://www.delawareareacc.org/high-school/north-campus";"McComasT@DelawareAreaCC.org";"In this program, you will work in our own preschool center, playing an essential role in caring for young children from the community. You will use research and creative problem-solving to deliver developmentally appropriate activities for young children.";"https://www.delawareareacc.org/high-school/students/programs-of-study/north-campus/early-childhood-education";"https://www.facebook.com/DelawareAreaCC/";"https://www.delawareareacc.org/high-school/about/employment-opportunities#.W1cWNtUzaUk";"https://www.delawareareacc.org/high-school/apply#.W1cYxtUzaUk";;;;;"x";;;"https://www.facebook.com/DelawareAreaCC/photos/a.427968566845.230801.329219736845/378859176845/?type=1&theater";"7:30AM - 4PM";"7:30AM - 4PM";"7:30AM - 4PM";"7:30AM - 4PM";"7:30AM - 4PM";"Closed";"Closed";
