"id";"name";"address";"city";"state";"zip";"county";"phone";"main url";"email";"details";"location website";"facebook page";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url";"monday hour";"tuesday hour";"wednesday hour";"thursday hour";"friday hours";"saturday hour";"sunday hour";"notes"
1178951;"NELSONVILLE-YORK ELEMENTARY SCHOOL";"4 BUCKEYE DR";"NELSONVILLE";"OH";45764;"ATHENS";7407535145;"http://www.nelsonvilleyork.k12.oh.us/";"beckysteenrod@nybucks.org";"Welcome to Nelsonville-York Elementary School! Here in the elementary we aim to meet the needs of all our learners, academically and emotionally. We have high standards of excellence and are successful because of the programs and opportunities we provide. We offer whole group, small group and one on one instruction in the classroom. The classrooms are equipped with the latest technology using Smart Boards, document cameras and projectors. The elementary also subscribes to online programs like Study Island and BrainPop to provide students additional one on one instruction at school and home.";"http://www.nelsonvilleyork.k12.oh.us/nelsonville-yorkelementary_home.aspx";"https://www.facebook.com/NelsonvilleYorkElementary/";"http://www.nelsonvilleyork.k12.oh.us/Employment.aspx";"http://www.nelsonvilleyork.k12.oh.us/Downloads/Open%20enrollment%20Form18-19.pdf";"http://www.nelsonvilleyork.k12.oh.us/Downloads/NYEL-Planner%206_15_18-Updated.pdf";;;;"x";;;"http://www.nelsonvilleyork.k12.oh.us/sysimages/LogoHeader.png";"8:30AM - 3:25PM";"8:30AM - 3:25PM";"8:30AM - 3:25PM";"8:30AM - 3:25PM";"8:30AM - 3:25PM";"Closed";"Closed";
1178954;"NEW CONCORD SCHOOL";"4 STORMONT ST";"NEW CONCORD";"OH";43762;"MUSKINGUM";7404524518;"http://www.east-muskingum.k12.oh.us/";"cbriggs@eastmschools.org";;"http://www.east-muskingum.k12.oh.us/";"https://www.facebook.com/pages/New-Concord-Elementary-School/302468486609453";"http://www.east-muskingum.k12.oh.us/Employment.aspx";"http://www.east-muskingum.k12.oh.us/OpenEnrollment.aspx";;;;;"x";;;"http://www.eastmschools.org/sysimages/LogoHeader3.png";"9:30AM - 3:30PM";"9:30AM - 3:30PM";"9:30AM - 3:30PM";"9:30AM - 3:30PM";"9:30AM - 3:30PM";"Closed";"Closed";
1178956;"NEW HOPE CHILD ENRICHMENT CENTER";"3490 W. 105TH STREET";"CLEVELAND";"OH";44111;"CUYAHOGA";2166713338;;"hope.enrichment1@yahoo.com";"Children are our future and Hope for tomorrow. Our day care provides a safe environment for your child to explore his or her full potential.";;"https://www.facebook.com/NewHopeChildEnrichment/";;;;;;;;;;;"6:30AM - 7PM";"6:30AM - 7PM";"6:30AM - 7PM";"6:30AM - 7PM";"6:30AM - 7PM";"Closed";"Closed";
1178957;"NEW HOPE EARLY ED CENTER SCHOOL";"11700 UPPER GILCHRIST RD";"MOUNT VERNON";"OH";43050;"KNOX";7403977422;"http://www.knoxheadstart.org/";"bbower@knoxheadstart.org";"Committed to the future of Knox County and its changing and diverse needs, Knox County Head Start provides high quality preschool, child care and family services in partnership with out community. Our purpose is to ensure that children, families and staff reach their full potential.";"http://www.knoxheadstart.org/new-hope-mount-vernon/";"https://www.facebook.com/knoxheadstart";"http://www.knoxheadstart.org/aboutus/employment-opportunities/";"http://www.knoxheadstart.org/enroll-now-2/";"http://www.knoxheadstart.org/wp-content/uploads/2015/08/School-Family-Guide-1516-web.pdf";"x";"x";"x";"x";;;"http://www.knoxheadstart.org/wp-content/uploads/2014/11/logokchs2-300x50.png";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"Closed";"Closed";
1178958;"NEW HORIZONS DAYCARE CENTER, LLC";"5475 SANDALWOOD BLVD.";"COLUMBUS";"OH";43229;"FRANKLIN";6147856250;;;;;;;;;;;;;;;;;;;;;;;
1178959;"NEW LEXINGTON ELEMENTARY SCHOOL";"2550 PANTHER DR NE";"NEW LEXINGTON";"OH";43764;"PERRY";7403422556;"http://www.nlpanthers.org/newlexingtonelementaryschool_home.aspx";"lisa.gormley@mvesc.org";"The Muskingum Valley Preschool-Perry County Program serves students ages 3-5 in the Crooksville Exempted Village, New Lexington, and Northern Local School Districts. Muskingum Valley Preschool-Perry County Programs connects with children and families to create high quality, affordable programs, to contribute to kindergarten readiness for all students. Our vision is that all our communities’ most precious assets, our children, will have access to high quality preschool programs and to develop a life-long love of learning.";"http://www.nlpanthers.org/preschool.aspx";"https://www.facebook.com/pages/New-Lexington-Elementary-School/368368573339870";"http://www.nlpanthers.org/Employment.aspx";"http://filecabinet.eschoolview.com/EAF06C58-CBE6-4279-A719-F4799DE49DB1/2018_19NewLexingtonEnrollmentPacket.pdf";"http://www.nlpanthers.org/Downloads/2018-19%20HANDBOOK_PUBLIC%20PS%20(1).pdf";;;"x";"x";;;"http://www.nlpanthers.org/sysimages/HeaderLogo.png";"Closed";"9AM - 3:30PM";"9AM - 3:30PM";"9AM - 3:30PM";"9AM - 3:30PM";"Closed";"Closed";
1178960;"NEW LEXINGTON HIGH SCHOOL";"2547 PANTHER DR NE";"NEW LEXINGTON";"OH";43764;"PERRY";7403423528;"http://www.nlpanthers.org";"tony.thorngate@nlpanthers.org";"New Lexington High School is a four-year comprehensive public high school, accredited by the North Central Association of Secondary Schools and Colleges and the State of Ohio. We are a member of the Muskingum Valley League of the Ohio High School Athletic Association.  We believe our students are life-long learners and the future of our community. Strengthening character, teaching respect and integrity of others, and promoting academic success within our entire student body are priorities at New Lexington.";"http://www.nlpanthers.org/newlexingtonhighschool_home.aspx";"https://www.facebook.com/pages/New-Lexington-High-School/211417645623198";"http://www.nlpanthers.org/Employment.aspx";"http://www.nlpanthers.org/Registrar.aspx";"http://www.nlpanthers.org/Downloads/Student%20Handbook%2018-19%20(1).pdf";;;;;;;"http://www.nlpanthers.org/sysimages/HeaderLogo.png";"7:35AM - 2:35PM";"7:35AM - 2:35PM";"7:35AM - 2:35PM";"7:35AM - 2:35PM";"7:35AM - 2:35PM";"Closed";"Closed";
1178961;"NEW LEXINGTON MIDDLE SCHOOL";"2549 PANTHER DR NE";"NEW LEXINGTON";"OH";43764;"PERRY";7403424128;"http://www.nlpanthers.org";"jim.watts@nlpanthers.org";"At New Lexington Middle School we: Provide a safe, supportive, and student-centered learning environment; Challenge ourselves to reach our highest potential; Promote respectful, productive citizens; Develop creative, critical thinkers.";"http://www.nlpanthers.org/newlexingtonmiddleschool_home.aspx";"https://www.facebook.com/pages/New-Lexington-Middle-School/1540401389538386";"http://www.nlpanthers.org/Employment.aspx";"http://www.nlpanthers.org/Registrar.aspx";"http://www.nlpanthers.org/Downloads/Student%20Handbook%202017-2018%20(1).docx";;;;;;;"http://www.nlpanthers.org/sysimages/HeaderLogo.png";"7:25AM - 2:25PM";"7:25AM - 2:25PM";"7:25AM - 2:25PM";"7:25AM - 2:25PM";"7:25AM - 2:25PM";"Closed";"Closed";
1178962;"NEW LONDON ELEMENTARY SCHOOL";"1 WILDCAT DR";"NEW LONDON";"OH";44851;"HURON";4199298117;"http://www.nlschools.org/";"aaccavallo@newlondon.k12.oh.us";"Our preschool program serves children ages 3-5 with and without special needs. Teachers work on skills that are developmentally appropriate for each child attending the program. Children entering the program on an Individualized Education Program (IEP) will have their goals and objectives included throughout the daily schedule. Related services such as speech therapy, occupational therapy, and physical therapy are provided to students with IEP’s as determined by the multi-factored evaluation process.";"http://www.nlschools.org/newlondonelementaryschool_home.aspx";"https://www.facebook.com/nlwildcats/";"http://www.nlschools.org/JobPostings.aspx";"https://newlondon.esvportal.com/";"http://www.nlschools.org/Downloads/2018-19%20NLPre-K%20Handbook.pdf";;;"x";"x";;;"http://www.nlschools.org/sysimages/logo.png";"7:30AM - 3PM";"7:30AM - 3PM";"7:30AM - 3PM";"7:30AM - 3PM";"Closed";"Closed";"Closed";
1178963;"NEW MIAMI ELEMENTARY SCHOOL";"606 SEVEN MILE AVE";"HAMILTON";"OH";45011;"BUTLER";5138967153;"http://www.new-miami.k12.oh.us/";"tclass@new-miami.k12.oh.us";"Welcome to New Miami Elementary School. In partnership with our community, the mission of the New Miami Local School District is: To have a challenging and relevant curriculum; To engage children as active participants in their learning; To instruct with research-based proven practice; To create a caring, nurturing, and respectful environment that is safe and disciplined. So, that all our children demonstrate a mastery of high academic skills.";"http://www.new-miami.k12.oh.us/3/Home";"https://www.facebook.com/newmiamielementaryschool/";"http://www.new-miami.k12.oh.us/Content2/196";"http://www.new-miami.k12.oh.us/docs/Registration%20Packet-0.pdf";"http://www.new-miami.k12.oh.us/userfiles/1006/my%20files/elementary%20handbook%2018-19.docx?id=9854";;;;"x";;;"http://www.new-miami.k12.oh.us/userfiles/1117/12065702_1022649147787958_5364101436968606246_n%20(1).jpg";"8:45AM - 3:45PM";"8:45AM - 3:45PM";"8:45AM - 3:45PM";"8:45AM - 3:45PM";"Closed";"Closed";"Closed";
