"id";"name";"address";"city";"state";"zip";"county";"phone";"main url";"email";"details";"location website";"facebook page";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url";"monday hour";"tuesday hour";"wednesday hour";"thursday hour";"friday hours";"saturday hour";"sunday hour";"notes"
1176147;"Alpha Best @ Overlook Elementary,";"3298 Curtis Drive";"Temple Hills";"MD";20748;"PRINCE GEORGE'S";"(336) 712-3258";"http://www.pgcps.org/overlook/parents.htm";" lharrod@alphabest.org";;;;;;;;;;;;;;;;;;;;;
1176148;"Bright Beginnings Childcare";"216 N Cleveland Avenue";"Hagerstown";"MD";21740;"WASHINGTON";"(301) 302-3645";"https://www.brightbeginningschildcare.center/";"jnjmaddy@yahoo.com";"Bright Beginnings Childcare is a licensed center. We offer care for ages 6 weeks to 12 years old. Breakfast, snacks, and drinks are provided. Your child must bring a packed lunch every day. We are open Monday thru Friday 7am to 5pm. ";"https://www.brightbeginningschildcare.center/";"https://www.facebook.com/Bright-Beginnings-Childcare-117624274928256/";;;;"x";"x";"x";"x";;;"https://static.wixstatic.com/media/1b9787_a8c9f439227b46b9923544627e1cab83~mv2.png/v1/fill/w_126,h_175,al_c,usm_0.66_1.00_0.01/1b9787_a8c9f439227b46b9923544627e1cab83~mv2.png";"7AM - 5PM";"7AM - 5PM";"7AM - 5PM";"7AM - 5PM";"7AM - 5PM";"Closed";"Closed";
1176149;"YMCA- Jonathan Hager Before and After School";"12615 Sedgwick Way";"Hagerstown";"MD";21740;"WASHINGTON";"(301) 739-3990";"http://ymcahagerstown.org/";"djs@ymcahagerstown.org";"Offered at Lincolnshire, Pangborn, Bester, Salem, Emma K. Doub,  Johnathan Hager, Eastern, Ruth Ann Monroe and Williamsport Elementary. Quiet games and arts and crafts make up our morning program.";"http://ymcahagerstown.org/youth/school-age-program";;;;;;;;"x";;;"http://ymcahagerstown.org/wp-content/uploads/v4/logo-top.png";"6AM - 6PM";"7AM - 6PM";"7AM - 6PM";"7AM - 6PM";"7AM - 6PM";"Closed";"Closed";
1176150;"My Favorite Place II";"22527 Jefferson Blvd";"Smithsburg";"MD";21783;"WASHINGTON";"(301) 824-7003";"http://my-favorite-place-day-care-center.business.site/";"Myfavoriteplace@icloud.com";"Day Care Center in Smithsburg";"http://my-favorite-place-day-care-center.business.site/";"https://www.facebook.com/Myfavoriteplace21783/";;;;;;;;;;;"6AM - 6PM";"6AM - 6PM";"6AM - 6PM";"6AM - 6PM";"6AM - 6PM";"Closed";"Closed";
1176151;"Chesapeake Martial Arts Child Care Center";"11070 Cathell Road";"Berlin";"MD";21811;"WORCESTER";"(410) 208-4100";"http://www.cmakarate.com/";"jim@cmakarate.com";"Our mission is to make our students more successful in life through the practice of Tae Kwon Do at our school. We do this by teaching our martial arts as a complete discipline (mind, body, spirit), which in addition to developing physical defense, encourages the formation of high personal standards and respect for fellow men and women.";"http://www.cmakarate.com/after-school-program.php";"https://www.facebook.com/CmaKarate/";;;;;;;;"x";;"http://www.cmakarate.com/images/index/logo.png";"7AM - 9PM";"7AM - 9PM";"7AM - 9PM";"7AM - 9PM";"7AM - 9PM";"Closed";"Closed";
1176152;"Coastal Early Learning Center";"9729 Seahawk Road";"Berlin";"MD";21811;"WORCESTER";"(410) 973-2720";"http://www.coastalearlylearning.com/";"carrie@coastalearlylearning.com";"The habits and skills a child develops in a Montessori classroom last a lifetime. Our chief objectives are to teach your children the basic skills necessary for intellectual development, to foster a love of learning, and to promote appropriate behavior with respect for their peers. We strive to help each child become a well-rounded and prepared adult of tomorrow.";"http://www.coastalearlylearning.com/";"https://www.facebook.com/CoastalEarlyLearningCenter/";"http://www.coastalearlylearning.com/employment-1/";"http://www.coastalearlylearning.com/take-action/";;"x";"x";"x";"x";;"x";"http://static1.squarespace.com/static/53f11fd5e4b0b3651bf116ad/t/53f4ea78e4b0f15c77b95e8c/1524680816875/?format=1500w";"7AM - 5:30PM";"7AM - 5:30PM";"7AM - 5:30PM";"7AM - 5:30PM";"7AM - 5:30PM";"Closed";"Closed";
1176153;"HRDC Cresaptown Pre-K Expansion";"13202 Sixth Avenue";"Cresaptown";"MD";21502;"Allegany";"(301) 783-1727";"https://www.acpsmd.org/Domain/34";"rroby@alleganyhrdc.org";"HRDC Pre-K is a federally funded program that implements education, health and parent involvement into a secure, productive environment.";"https://alleganyhrdc.org/hrdc-pre-k/";"https://www.facebook.com/AlleganyHRDC/";"https://alleganyhrdc.org/employment-opportunties/";;;;;;"x";;;"https://alleganyhrdc.org/wp-content/uploads/2017/08/hrdc_head-2.gif";;;;;;;;
1176154;"HRDC Allegany College Head Start";"12423 Old Willow Brook Rd";"Cumberland";"MD";21502;"ALLEGANY";"(301) 783-1727";"https://alleganyhrdc.org/head-start/";"rroby@alleganyhrdc.org";"HRDC Head Start is a federally funded program that implements education, health and parent involvement into a secure, productive environment.";"https://alleganyhrdc.org/head-start/";"https://www.facebook.com/AlleganyHRDC/";"https://alleganyhrdc.org/employment-opportunties/";;;;;"x";"x";;;"https://alleganyhrdc.org/wp-content/uploads/2017/08/hrdc_head-2.gif";"7:30AM - 4:30PM";"7:30AM - 4:30PM";"7:30AM - 4:30PM";"7:30AM - 4:30PM";"7:30AM - 4:30PM";"Closed";"Closed";
1176155;"Saint Joseph School Pre-K / School Age,";"105 Church Lane";"Cockeysville";"MD";21030;"BALTIMORE";"(410) 683-0600";"https://school.sjpmd.org/";"info@sjpmd.org";"St. Joseph School embraces the whole child in a Catholic, faith-filled learning environment of academic excellence. In partnership with the student’s family and the parish community, our school helps each student to grow spiritually, intellectually, morally, and socially in pursuit of his or her individual potential.";"https://school.sjpmd.org/";"https://www.facebook.com/St.JosephSchoolCockeysvilleMD/";"https://school.sjpmd.org/resources/forms-documents";"https://school.sjpmd.org/admissions/apply-now";"https://school.sjpmd.org/resources/forms-documents";;;"x";"x";;;"https://school.sjpmd.org/assets/imgs/logo.png";"8AM - 3:30PM";"8AM - 3:30PM";"8AM - 3:30PM";"8AM - 3:30PM";"8AM - 3:30PM";"Closed";"Closed";
1176156;"Saint Michael's School Pre-K,";"16560 Three Notch Road";"Ridge";"MD";20680;"SAINT MARYS";"(301) 872-5454";"http://www.saint-michaels-school.org/";"robin.pajak@saint-michaels-school.org";"The fundamental purpose of Saint Michael's Catholic School is to assist the church in its ministry of a christian education, and take responsibility with parents to develop the education of the whole child through word, worship, and service.";"http://www.saint-michaels-school.org/";"https://www.facebook.com/St-Michaels-School-150978838260977/";;"http://www.saint-michaels-school.org/AdmissionsTuition2017-2018.html";;;;"x";"x";;;"https://scontent.fskp2-1.fna.fbcdn.net/v/t1.0-1/p200x200/19400122_1921527227872787_7033462268769940256_n.jpg?_nc_cat=0&oh=5e820442d85378f20d162ee8ee0cd633&oe=5B881195";"8AM - 3PM";"8AM - 3PM";"8AM - 3PM";"8AM - 3PM";"8AM - 3PM";"Closed";"Closed";
