"Provider ID";"Inspections Date";"Checklist Type";"Document";"ProviderCode"
1857184;"06/15/2022";"ChildCareMonitoringChecklist.pdf";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y000002ww73/vCGxMl3VR7S25GiSJePHjlRFf0Mt7xaVH0nFq7unSOc";"001t000000bOHLbAAO"
1857184;"06/15/2022";"Licensing CCC Inspection Report";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y000002ww7d/e6O6wymM6MVsseRQB2s2k2vL2ZS2ORdJUqxd2E0ICGg";"001t000000bOHLbAAO"
1857184;"07/09/2021";"ChildCareMonitoringChecklist.pdf";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y000000HLYR/JoX6Kf1F2SJPMDYr5DA2axBoZpUaOnJY5AR3qbtociU";"001t000000bOHLbAAO"
1857184;"07/09/2021";"Licensing CCC Inspection Report";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y000000HLev/Zip9hbDA2KmnO1EikujXuuRvfTWfIkjZRM5Tatt0QB4";"001t000000bOHLbAAO"
1916190;"04/23/2022";"ChildCareMonitoringChecklist.pdf";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y000002byQl/cIq2SomckiTdxzNsVANWhdexHYVOXUZcjua1Ul8oaO0";"0018y000002NKJbAAO"
1916190;"04/23/2022";"Licensing CCC Inspection Report";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y000002wRjl/GO_F_wrER5oOwiBYL5azPcxWKv3zVzvjjuTym0L9Mfc";"0018y000002NKJbAAO"
1916190;"12/28/2021";"ChildCareMonitoringChecklist.pdf";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y000001lZGS/uIkt_yJCqnpGIgwULk4DG2IjSHh5Ip7ruIrgPM3bmJs";"0018y000002NKJbAAO"
1916190;"12/28/2021";"Licensing CCC Inspection Report";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y000001lZ8L/8OIK2oShnN...F0xZQ99xQXDxGnOVlvadxJX5yC3FjE";"0018y000002NKJbAAO"
322170;"08/24/2022";"Licensing CCC Inspection Report";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y0000037Isb/ktIU2s6VJvEmLX02K40PqFDrsa1D6aICpeoxiJ_g9CE";"001t0000007qHhQAAU"
322170;"08/24/2022";"ChildCareMonitoringChecklist.pdf";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y0000037Ipr/XHJZoxt2pSSFJ6g5hXb1QZTXtQFDmCrM8lSYSs8_Exo";"001t0000007qHhQAAU"
322170;"04/07/2022";"ChildCareMonitoringChecklist.pdf";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y000002Uhld/N7SaMten3aPVLAXRc9mVV1lLJzV0G2N1THHDPaKKns0";"001t0000007qHhQAAU"
322170;"04/07/2022";"Licensing CCC Inspection Report";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y000002UhmX/_48_nFfBtjUBQS5.sWcH2vUkgAHEb8BUatumplPtE.I";"001t0000007qHhQAAU"
322170;"10/20/2020";"Licensing CCC Inspection Report";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/t0000001ENeZ/W.MKdzmMDXfhim7NmNkPRcjeYzB28cRLWfFqIpsJNn4";"001t0000007qHhQAAU"
322170;"10/20/2020";"ChildCareMonitoringChecklist.pdf";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/t0000001ENmN/_10TmMnYoFsFIMF_QbDy1u0X48u7g43s2dYjuqww46Y";"001t0000007qHhQAAU"
322170;"05/06/2020";"ChildCareMonitoringChecklist.pdf";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/t0000000lOFa/bvF3WktTUKt8LruUgIFnLKLoU_xA0xmh97fKFeEZV6c";"001t0000007qHhQAAU"
322170;"05/06/2020";"Licensing CCC Inspection Report";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/t0000000lOFg/kRXejAjmcAJmyX2kf9H9FsU1UvuALw1oTM16u1SuMAE";"001t0000007qHhQAAU"
794057;"08/29/2022";"Licensing CCC Inspection Report";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y000003MI0Z/VwapsswbrH1U2LirUWg4VmhsrUd5KD_OZNdtzlEARxw";"001t0000007qJ0gAAE"
794057;"08/29/2022";"ChildCareMonitoringChecklist.pdf";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y000003MHzu/MxnGc8kf7i5m7_viqWwFEQMsTT9jjt8LM3HagBQAG5U";"001t0000007qJ0gAAE"
794057;"04/25/2022";"ChildCareMonitoringChecklist.pdf";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y000002ch2s/n43n1BE8Y87iS38.CklvM7fWKrfTXXcGr4FV5_SrNvs";"001t0000007qJ0gAAE"
794057;"04/25/2022";"Licensing CCC Inspection Report";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y000002ch3I/lNgW09G9a4IFL5yMEGBcW_ROfaqUzB_bOxK_7mEmBKU";"001t0000007qJ0gAAE"
1859175;"02/10/2022";"ChildCareMonitoringChecklist.pdf";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y0000024Iwh/1WQ.W9CYKMwK3WmguIqySY20bLlwhqYq5wo3IejdC2k";"001t000000QYaCGAA1"
1859175;"02/10/2022";"Licensing CCC Inspection Report";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y0000024IxR/EstgWHPMa7A3MBWLW8Zmt8kCrxioiuybxnoC9fKVgsc";"001t000000QYaCGAA1"
1844224;"10/14/2022";"ChildCareInspectionChecklist.pdf";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y000003aAuF/rQHUiT6jjqF4wmL_Zm6OPtJnjwTjuhSxPdGJydNFi8I";"001t000000QYf6XAAT"
1844224;"10/14/2022";"Licensing CCC Inspection Report";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y000003aAtm/B3f884cPzqi1bICoTtlyrJGTPQYaUKArq56jpfeGDkU";"001t000000QYf6XAAT"
1844224;"11/24/2021";"Licensing CCC Inspection Report";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y000001QuGH/41AVjswsNFP3pvnOvBIOyz1gLBxbEMSMHSHO.SwW8mg";"001t000000QYf6XAAT"
1844224;"11/24/2021";"ChildCareMonitoringChecklist.pdf";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y000001QuOP/pQNsp1viRNW2K_mzelddNzX6rqUTNovoqmuGaTfHgLk";"001t000000QYf6XAAT"
85478;"04/15/2022";"Licensing CCC Inspection Report";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y000002pCNp/x3d6KtNZEkhOM8gWUOJcQcfNGxN.c3eoMXdZW.6lW3E";"001t0000007qAVdAAM"
85478;"04/15/2022";"ChildCareMonitoringChecklist.pdf";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y000002pCQN/4WX.wTxS3sYgnj7SWLPRhPPpuugpzVK2XUB0qSeMogs";"001t0000007qAVdAAM"
85478;"11/13/2020";"ChildCareMonitoringChecklist.pdf";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/t0000001LnuU/7hFU3ke1qJM6jtQGqR69CQQHhcZKNvOgUff6vgkLo6g";"001t0000007qAVdAAM"
85478;"11/13/2020";"Licensing CCC Inspection Report";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/t0000001Lnua/udsKV5ibRnsUaGmJ836s9xSL1xhYKL6JbEGWmo5XPm0";"001t0000007qAVdAAM"
85478;"01/28/2020";"ChildCareMonitoringChecklist.pdf";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/t0000000GXCG/pES5g1EYn1MYxYfbONOcXT1KTINsMp3HmT8lZBBAz.I";"001t0000007qAVdAAM"
85478;"01/28/2020";"Licensing CCC Inspection Report";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/t0000000sauq/.cUChN1QLd49BN470KUhWu1WyIpd4hdSC5M7U.dWhgY";"001t0000007qAVdAAM"
85478;"03/07/2018";"Family Home Abbreviated Checklist.pdf";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/t0000000Q49H/Qix48fyRlP5dlw_IT1NLiI8I11JGv8BabyHdaAnWD5A";"001t0000007qAVdAAM"
1884214;"01/28/2022";"Licensing CCC Inspection Report";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y000001z5ls/ewrUT3pT2uGSpNEKOQOR8kce7uasFRcOV.Hl0ga5Qq0";"0018y000002MbEKAA0"
1884214;"01/28/2022";"ChildCareMonitoringChecklist.pdf";"https://wa-del.my.salesforce.com/sfc/p/t00000008aPL/a/8y000001z5mV/9lGck0mDPN032SZq8NVrhYU5mnpZ2JwTDQ6qArUZ8AE";"0018y000002MbEKAA0"
